Date,MarketVolatility,Uncertainty,StockMarkets,Score
2004-01-01,54,63,26,47.67
2004-02-01,13,69,23,35.00
2004-03-01,33,55,15,34.33
2004-04-01,38,73,25,45.33
2004-05-01,23,57,14,31.33
2004-06-01,47,49,15,37.00
2004-07-01,24,48,14,28.67
2004-08-01,22,57,18,32.33
2004-09-01,10,88,17,38.33
2004-10-01,0,99,17,38.67
2004-11-01,11,82,18,37.00
2004-12-01,39,51,22,37.33
2005-01-01,52,59,23,44.67
2005-02-01,18,64,20,34.00
2005-03-01,23,68,23,38.00
2005-04-01,36,66,16,39.33
2005-05-01,31,71,18,40.00
2005-06-01,16,49,14,26.33
2005-07-01,40,49,14,34.33
2005-08-01,15,42,17,24.67
2005-09-01,7,70,19,32.00
2005-10-01,26,72,23,40.33
2005-11-01,13,55,14,27.33
2005-12-01,38,50,18,35.33
2006-01-01,40,60,29,43.00
2006-02-01,18,63,26,35.67
2006-03-01,26,54,18,32.67
2006-04-01,22,55,22,33.00
2006-05-01,20,43,26,29.67
2006-06-01,27,37,21,28.33
2006-07-01,27,39,16,27.33
2006-08-01,19,33,11,21.00
2006-09-01,34,73,20,42.33
2006-10-01,14,69,20,34.33
2006-11-01,18,52,20,30.00
2006-12-01,9,50,24,27.67
2007-01-01,20,39,23,27.33
2007-02-01,25,60,31,38.67
2007-03-01,45,48,39,44.00
2007-04-01,8,52,19,26.33
2007-05-01,7,47,22,25.33
2007-06-01,33,42,18,31.00
2007-07-01,21,39,25,28.33
2007-08-01,36,46,34,38.67
2007-09-01,20,64,24,36.00
2007-10-01,41,64,31,45.33
2007-11-01,60,53,34,49.00
2007-12-01,9,53,27,29.67
2008-01-01,24,49,44,39.00
2008-02-01,37,55,33,41.67
2008-03-01,41,44,31,38.67
2008-04-01,29,53,22,34.67
2008-05-01,27,48,22,32.33
2008-06-01,12,38,21,23.67
2008-07-01,33,39,21,31.00
2008-08-01,19,35,17,23.67
2008-09-01,41,69,67,59.00
2008-10-01,74,61,100,78.33
2008-11-01,62,59,44,55.00
2008-12-01,35,49,28,37.33
2009-01-01,33,47,24,34.67
2009-02-01,20,68,28,38.67
2009-03-01,34,59,34,42.33
2009-04-01,28,61,25,38.00
2009-05-01,18,47,20,28.33
2009-06-01,30,42,18,30.00
2009-07-01,18,41,15,24.67
2009-08-01,18,40,19,25.67
2009-09-01,20,79,17,38.67
2009-10-01,38,81,23,47.33
2009-11-01,32,78,19,43.00
2009-12-01,30,56,17,34.33
2010-01-01,27,58,22,35.67
2010-02-01,31,70,19,40.00
2010-03-01,39,60,19,39.33
2010-04-01,18,75,19,37.33
2010-05-01,36,58,31,41.67
2010-06-01,27,47,18,30.67
2010-07-01,23,40,15,26.00
2010-08-01,19,44,12,25.00
2010-09-01,13,77,14,34.67
2010-10-01,24,70,15,36.33
2010-11-01,22,61,16,33.00
2010-12-01,14,52,12,26.00
2011-01-01,11,54,21,28.67
2011-02-01,24,69,22,38.33
2011-03-01,20,64,19,34.33
2011-04-01,17,66,14,32.33
2011-05-01,21,58,15,31.33
2011-06-01,15,41,12,22.67
2011-07-01,19,42,19,26.67
2011-08-01,42,57,51,50.00
2011-09-01,35,89,22,48.67
2011-10-01,26,85,24,45.00
2011-11-01,32,66,21,39.67
2011-12-01,25,56,18,33.00
2012-01-01,30,59,17,35.33
2012-02-01,16,71,17,34.67
2012-03-01,20,57,14,30.33
2012-04-01,31,63,15,36.33
2012-05-01,19,51,14,28.00
2012-06-01,26,47,13,28.67
2012-07-01,12,37,11,20.00
2012-08-01,22,49,9,26.67
2012-09-01,22,86,13,40.33
2012-10-01,13,77,16,35.33
2012-11-01,27,67,17,37.00
2012-12-01,22,50,12,28.00
2013-01-01,13,54,14,27.00
2013-02-01,14,72,15,33.67
2013-03-01,16,53,16,28.33
2013-04-01,25,65,15,35.00
2013-05-01,18,55,13,28.67
2013-06-01,21,42,12,25.00
2013-07-01,11,35,12,19.33
2013-08-01,15,46,11,24.00
2013-09-01,19,99,16,44.67
2013-10-01,23,90,21,44.67
2013-11-01,21,59,16,32.00
2013-12-01,19,51,13,27.67
2014-01-01,11,50,18,26.33
2014-02-01,32,72,19,41.00
2014-03-01,18,58,20,32.00
2014-04-01,17,59,18,31.33
2014-05-01,19,47,14,26.67
2014-06-01,19,42,13,24.67
2014-07-01,22,35,13,23.33
2014-08-01,18,47,12,25.67
2014-09-01,15,100,15,43.33
2014-10-01,39,77,21,45.67
2014-11-01,22,61,19,34.00
2014-12-01,28,51,18,32.33
2015-01-01,25,56,20,33.67
2015-02-01,32,71,19,40.67
2015-03-01,26,57,17,33.33
2015-04-01,23,65,18,35.33
2015-05-01,16,46,15,25.67
2015-06-01,19,38,18,25.00
2015-07-01,29,31,29,29.67
2015-08-01,47,46,51,48.00
2015-09-01,39,95,42,58.67
2015-10-01,31,84,24,46.33
2015-11-01,28,62,20,36.67
2015-12-01,25,49,20,31.33
2016-01-01,38,51,46,45.00
2016-02-01,34,75,37,48.67
2016-03-01,39,57,25,40.33
2016-04-01,35,65,22,40.67
2016-05-01,16,49,19,28.00
2016-06-01,33,42,37,37.33
2016-07-01,21,29,20,23.33
2016-08-01,16,41,14,23.67
2016-09-01,30,90,19,46.33
2016-10-01,40,79,18,45.67
2016-11-01,43,69,55,55.67
2016-12-01,26,50,23,33.00
2017-01-01,30,55,24,36.33
2017-02-01,28,74,23,41.67
2017-03-01,32,66,23,40.33
2017-04-01,28,64,23,38.33
2017-05-01,34,49,19,34.00
2017-06-01,17,38,16,23.67
2017-07-01,26,33,17,25.33
2017-08-01,22,46,20,29.33
2017-09-01,26,89,19,44.67
2017-10-01,34,75,21,43.33
2017-11-01,31,60,23,38.00
2017-12-01,27,42,24,31.00
2018-01-01,36,48,30,38.00
2018-02-01,100,66,49,71.67
2018-03-01,47,56,34,45.67
2018-04-01,56,61,27,48.00
2018-05-01,35,48,23,35.33
